title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
BRO,Brownsville,-97.3752975463867,25.9241008758544,50,#ff0000,#000000,0
BRV,Brooke,-77.35289764404288,38.33629989624019,50,#ff0000,#000000,0
BSH,Bisha,42.62459945678711,19.9776992797851,50,#ff0000,#000000,0
BSR,Big Sur,-121.641998291015,36.18130111694332,50,#ff0000,#000000,0
BTG,Battle Ground,-122.592002868652,45.74779891967771,50,#ff0000,#000000,0
BTL,Battle Creek,-85.25229644775392,42.30979919433591,50,#ff0000,#000000,0
BTR,Baton Rouge,-91.2940979003906,30.48509979248039,50,#ff0000,#000000,0
BTV,Burlington,-73.1826019287109,44.39709854125972,50,#ff0000,#000000,0
BTY,Beatty,-116.748001098632,36.80059814453118,50,#ff0000,#000000,0
BUM,Butler,-94.4881973266601,38.27209854125972,50,#ff0000,#000000,0
BVL,Bonneville,-113.757003784179,40.72610092163079,50,#ff0000,#000000,0
BVT,Boiler,-87.0692977905273,40.55609893798818,50,#ff0000,#000000,0
BWG,Bowling Green,-86.4433975219726,36.92869949340819,50,#ff0000,#000000,0
BXK,Buckeye,-112.824996948242,33.45349884033202,50,#ff0000,#000000,0
BYP,Bonham,-96.2341003417968,33.53749847412102,50,#ff0000,#000000,0
BZA,Bard,-114.602996826171,32.76810073852532,50,#ff0000,#000000,0
CAE,Columbia,-81.0539016723632,33.8572998046875,50,#ff0000,#000000,0
CBH,Chah Bahar,60.42129898071281,25.4454002380371,50,#ff0000,#000000,0
CBM,Caledonia,-88.4384994506836,33.64149856567379,50,#ff0000,#000000,0
CCT,Central City,-87.2637023925781,37.3824005126953,50,#ff0000,#000000,0
CCV,Cape Charles,-75.9977035522461,37.34749984741212,50,#ff0000,#000000,0
CDB,Cold Bay,-162.774002075195,55.26739883422852,50,#ff0000,#000000,0
CDC,Caraffa,16.36910057067871,38.75590133666988,50,#ff0000,#000000,0
CDS,Childress,-100.289001464843,34.36909866333001,50,#ff0000,#000000,0
CEC,Crescent City,-124.240997314453,41.77959823608391,50,#ff0000,#000000,0
CEF,Westover,-72.52629852294922,42.19749832153322,50,#ff0000,#000000,0
CEW,Crestview,-86.6791000366211,30.82620048522941,50,#ff0000,#000000,0
CFB,Binghamton,-76.1364974975586,42.1575012207031,50,#ff0000,#000000,0
CGT,Chicago Heights,-87.5715026855468,41.50999832153319,50,#ff0000,#000000,0
CHS,Charleston,-80.0378036499023,32.89429855346682,50,#ff0000,#000000,0
CIE,Cochise,-109.758003234863,32.03340148925782,50,#ff0000,#000000,0
CIM,Cimarron,-104.872001647949,36.49140167236318,50,#ff0000,#000000,0
CJU,Jeju,126.624000549316,33.38470077514639,50,#ff0000,#000000,0
CKH,Koko Head,-157.703002929687,21.26519966125479,50,#ff0000,#000000,0
CLL,College Station,-96.4207000732421,30.60499954223631,50,#ff0000,#000000,0
CMB,Cambrai,3.151499986648543,50.22809982299798,50,#ff0000,#000000,0
CME,Chisum,-104.621002197265,33.33750152587892,50,#ff0000,#000000,0
CMI,Champaign,-88.27610015869139,40.03450012207032,50,#ff0000,#000000,0
CNG,Cunningham,-88.83689880371088,37.00859832763668,50,#ff0000,#000000,0
CNM,Carlsbad,-104.225997924804,32.2565994262695,50,#ff0000,#000000,0
CNX,Corona,-105.678001403808,34.36700057983391,50,#ff0000,#000000,0
COL,Cola,7.594190120697015,50.7835006713867,50,#ff0000,#000000,0
CON,Concord,-71.5755004882812,43.21979904174797,50,#ff0000,#000000,0
