title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
ITF,Alma,-71.6322021484375,48.50500106811522, small,#ff0000,#000000,0
ITO,Toronto,-79.6343994140625,43.6702995300293, small,#ff0000,#000000,0
ITZ,City Centre,-79.3993988037109,43.62720108032219, small,#ff0000,#000000,0
IUL,Montreal,-73.76329803466788,45.46419906616212, small,#ff0000,#000000,0
IUY,Rouyn,-78.8182983398437,48.21110153198239, small,#ff0000,#000000,0
IV,Island Lake,-94.6532974243164,53.853401184082, small,#ff0000,#000000,0
IVR,Vancouver,-123.202003479003,49.18809890747071, small,#ff0000,#000000,0
IXC,Cranbrook,-115.782997131347,49.6164016723632, small,#ff0000,#000000,0
IXD,Edmonton Muni,-113.511001586914,53.5689010620117, small,#ff0000,#000000,0
IXT,Terrace,-128.587997436523,54.4608001708984, small,#ff0000,#000000,0
IYC,Calgary,-114.023002624511,51.09920120239249, small,#ff0000,#000000,0
IZA,Iza,16.0534000396728,45.7349014282226, small,#ff0000,#000000,0
JA,Jacobshavn,-51.06079864501951,69.2403030395507, small,#ff0000,#000000,0
KAD,Kadis,25.08110046386711,60.1469993591308, small,#ff0000,#000000,0
KBD,Karlsruhe Baden Baden,8.088489532470708,48.7802009582519, small,#ff0000,#000000,0
KER,Kerch,36.40510177612298,45.37089920043941, small,#ff0000,#000000,0
KHD,Kiel Holtenau,10.1454000473022,54.37879943847651, small,#ff0000,#000000,0
KTG,Hengchun,120.731002807617,22.04380035400391, small,#ff0000,#000000,0
KVR,Kryvyi Rih,33.2117004394531,48.05089950561519, small,#ff0000,#000000,0
LAP,La Praz,6.413330078124999,46.67610168457031, small,#ff0000,#000000,0
LDY,Lydd,0.9374769926071158,50.95920181274407, small,#ff0000,#000000,0
LED,Leipzig South,12.22379970550532,51.41130065917959, small,#ff0000,#000000,0
LM,Malta,14.50279998779293,35.83710098266603, small,#ff0000,#000000,0
LND,Leipzig North,12.22570037841789,51.43429946899407, small,#ff0000,#000000,0
LQ,Luqa,14.48110008239739,35.8544006347656, small,#ff0000,#000000,0
LRD,Lahr,7.827519893646251,48.36410140991212, small,#ff0000,#000000,0
LUD,Lubeck Blankensee,10.71860027313231,53.80640029907222, small,#ff0000,#000000,0
MGD,Magdeburg,11.63090038299561,52.07709884643548, small,#ff0000,#000000,0
MHD,Monchengladbach,6.491970062255841,51.23490142822262, small,#ff0000,#000000,0
ML,Marseille/Provence,5.202169895172117,43.4443016052246, small,#ff0000,#000000,0
