title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
AAL,Aalborg,9.992810249328624,57.10390090942381,50,#ff0000,#000000,0
ABI,Djibouti/Ambouli,43.15459823608388,11.54950046539301,50,#ff0000,#000000,0
AFM,Manas,74.470703125,43.06219863891601,50,#ff0000,#000000,0
AHO,Alghero,8.28944015502929,40.6361007690429,50,#ff0000,#000000,0
AHT,Ashiya,130.649993896484,33.88830184936521,50,#ff0000,#000000,0
AKI,Akhisar,27.82719993591299,38.81949996948241,50,#ff0000,#000000,0
AKR,Akrotiri,32.96279907226559,34.5793991088867,50,#ff0000,#000000,0
AKT,Akeno,136.675003051757,34.52849960327141,50,#ff0000,#000000,0
AMB,Amberley,152.716003417968,-27.64170074462891,50,#ff0000,#000000,0
AML,Andravida,21.28470039367668,37.9296989440918,50,#ff0000,#000000,0
AMU,Amberieu,5.331250190734882,45.98860168457033,50,#ff0000,#000000,0
ANL,Nea Anchialos,22.74419975280757,39.21390151977529,50,#ff0000,#000000,0
AOG,Rota,-6.349060058593745,36.6478996276855,50,#ff0000,#000000,0
ARF,Topel,30.06469917297359,40.7322006225585,50,#ff0000,#000000,0
ARH,Libby,-110.338996887207,31.58559989929189,50,#ff0000,#000000,0
ARX,Araxos,21.422700881958,38.10820007324211,50,#ff0000,#000000,0
AVD,Avord,2.629859924316391,47.05810165405271,50,#ff0000,#000000,0
AVI,Aviano,12.5868997573852,46.02790069580067,50,#ff0000,#000000,0
AYT,Antalya,30.78280067443841,36.91559982299798,50,#ff0000,#000000,0
BAB,Beale,-121.441001892089,39.13479995727532,50,#ff0000,#000000,0
BAD,Barksdale,-93.66780090332031,32.50329971313469,50,#ff0000,#000000,0
BAP,Baghdad,44.22259902954103,33.26670074462891,50,#ff0000,#000000,0
BAR,Basrah,47.65980148315428,30.54879951477051,50,#ff0000,#000000,0
BAR,Bardufoss,18.58639907836913,69.0457000732421,50,#ff0000,#000000,0
BAT,Batman,41.1054992675781,37.9154014587402,50,#ff0000,#000000,0
BBE,Beauvechain,4.768060207366953,50.7564010620117,50,#ff0000,#000000,0
BBL,Kleine Brogel,5.46639013290406,51.17029953002931,50,#ff0000,#000000,0
BDM,Bandirma,27.97839927673339,40.3013000488281,50,#ff0000,#000000,0
BDN,Boscombe Down,-1.752650022506708,51.14899826049798,50,#ff0000,#000000,0
BDX,Bordeaux,-0.7232779860496596,44.82720184326169,50,#ff0000,#000000,0
BFS,Florennes,4.653059959411623,50.24140167236321,50,#ff0000,#000000,0
BGD,Baghdad,44.24950027465822,33.2602005004882,50,#ff0000,#000000,0
BGM,Bagram,69.26149749755858,34.943000793457,50,#ff0000,#000000,0
BIX,Keesler,-88.929702758789,30.40710067749018,50,#ff0000,#000000,0
BKF,Buckley,-104.751998901367,39.70740127563469,50,#ff0000,#000000,0
BKL,Ballykelly,-7.013329982757559,55.06079864501952,50,#ff0000,#000000,0
BLA,Cairo West,30.9116992950439,30.11549949645992,50,#ff0000,#000000,0
BND,Bandar Abbass,56.38109970092769,27.216999053955,50,#ff0000,#000000,0
BNK,Banak,24.9699001312255,70.06539916992182,50,#ff0000,#000000,0
BOO,Bodo,14.36180019378659,67.26629638671868,50,#ff0000,#000000,0
BRI,Balikesir,27.9295005798339,39.60060119628898,50,#ff0000,#000000,0
BSO,Benson,-1.099439978599539,51.61449813842771,50,#ff0000,#000000,0
BST,Lanveoc,-4.452109813690191,48.2845993041992,50,#ff0000,#000000,0
BTR,Butterworth,100.392997741699,5.471859931945802,50,#ff0000,#000000,0
BUE,Buchel,7.069499969482402,50.17869949340819,50,#ff0000,#000000,0
BUT,U Taphao,101.007003784179,12.67479991912839,50,#ff0000,#000000,0
BUZ,Bushehr,50.82080078124999,28.95540046691891,50,#ff0000,#000000,0
BZN,Brize Norton,-1.603530049324042,51.74819946289061,50,#ff0000,#000000,0
CAA,Cazaux,-1.136029958724969,44.53120040893549,50,#ff0000,#000000,0
CAM,Cameri,8.657529830932607,45.57020187377931,50,#ff0000,#000000,0
CAS,Caselle,7.652810096740739,45.1938018798828,50,#ff0000,#000000,0
CBU,Columbia,-122.611000061035,45.5886001586914,50,#ff0000,#000000,0
CCK,Ching Chuan Kang,120.61799621582,24.2625999450683,50,#ff0000,#000000,0
CEV,Cervia,12.3571996688842,44.20650100707998,50,#ff0000,#000000,0
CGC,Cognac,-0.3078610002994497,45.66149902343751,50,#ff0000,#000000,0
CGY,Coningsby,-0.168974995613107,53.0909996032714,50,#ff0000,#000000,0
CHI,Chiayi,120.390998840332,23.46489906311028,50,#ff0000,#000000,0
CHJ,Cheongju,127.497001647949,36.70930099487299,50,#ff0000,#000000,0
CHM,Chiang Mai,98.96679687500001,18.77120018005373,50,#ff0000,#000000,0
CIG,Cigli,27.0090999603271,38.4948997497558,50,#ff0000,#000000,0
CIV,Chièvres,3.82183003425598,50.57229995727531,50,#ff0000,#000000,0
CLR,Colmar,7.399970054626457,47.92929840087889,50,#ff0000,#000000,0
CLU,Corlu,27.90169906616213,41.1319007873535,50,#ff0000,#000000,0
COF,Patrick,-80.6118011474609,28.23769950866692,50,#ff0000,#000000,0
CRD,Cardak,29.69219970703119,37.77920150756829,50,#ff0000,#000000,0
CTM,Cottesmore,-0.6507689952850315,52.7354011535644,50,#ff0000,#000000,0
CVS,Cannon,-103.321998596191,34.3805999755859,50,#ff0000,#000000,0
CWZ,Cranwell,-0.4855000078678096,53.0285987854003,50,#ff0000,#000000,0
DAK,Dakovica,20.43169975280757,42.43000030517572,50,#ff0000,#000000,0
